Route,Route Type,Source Page File,Render Mode,Current Content Source,Existing CMS Page Slug,Hero CMS Managed,All Sections CMS Managed,Images CMS Managed,Links and CTAs CMS Managed,SEO CMS Managed,Navigation Managed,Footer References Managed,Collection Dependencies,Hardcoded Content Files,Existing Block Types Used,Missing Block Types,Public Empty-State Behavior,Admin Preview Available,Draft Publish Supported,Main Risk,Recommended Migration,Priority,CMS Coverage Status
/ethical-recruitment,Marketing page,src/app/(public)/ethical-recruitment/page.tsx,Server RSC,CmsPage + CmsContentBlock with hardcoded fallback hero,ethical-recruitment,Partial,Partial,Partial,Partial,SEOPageMeta via repository,Yes,Yes,None,"src/app/(public)/ethical-recruitment/page.tsx; src/demo-data/pages/ethical-recruitment.ts","editorial; pledge; solutions_grid; timeline_grid","policy_list; download_list; faq","Fallback hero if CMS missing",Yes,Partial,"Policy-sensitive marketing copy is split between CMS page and hardcoded detail arrays","Make all policy pages CmsPage/collection-driven with reviewed draft workflow",P1,PARTIAL
/ethical-recruitment/[slug],Dynamic detail page,src/app/(public)/ethical-recruitment/[slug]/page.tsx,Static generated/detail RSC,src/lib/content.ts ethicalContent,None,No,No,No,No,No,Yes,Yes,None,"src/lib/content.ts:130",none,"policy_detail; feature_grid; download_list; FAQ","notFound when slug missing",No,No,"Ethical policy detail pages are hardcoded outside CMS review workflow","Convert to CmsPage children or EthicalPolicy collection",P0,NONE
/ethical-recruitment/privacy-policy,Redirect/legacy route,src/app/(public)/ethical-recruitment/privacy-policy/page.tsx,Redirect RSC,Permanent redirect to /privacy-policy,None,N/A,N/A,N/A,N/A,N/A,Yes,Yes,None,src/app/(public)/ethical-recruitment/privacy-policy/page.tsx,none,none,"Redirects to /privacy-policy",N/A,N/A,"Legacy route must keep pointing at the canonical privacy page","Keep redirect; migrate only /privacy-policy as canonical legal content",P3,LEGACY_REDIRECT
/industries,Listing page,src/app/(public)/industries/page.tsx,Server RSC,CmsPage + dynamic industry grid block,industries,Partial,Partial,Partial,Partial,SEOPageMeta via repository,Yes,Yes,Industry,"src/app/(public)/industries/page.tsx; src/demo-data/pages/industries.ts","dynamic_industry_grid","industry_listing_controls; featured_industry","Public grid empty is blank/null depending renderer",Yes,Partial,"Landing intro is CMS but detail pages use hardcoded content; service also has parallel Industry model","Consolidate dynamic detail pages to Industry collection + CmsPage intro",P1,PARTIAL
/industries/[slug],Dynamic detail page,src/app/(public)/industries/[slug]/page.tsx,Static generated/detail RSC,src/lib/content.ts industriesContent,None,No,No,No,No,Partial via generateMetadata from hardcoded content,Yes,Yes,None,"src/lib/content.ts:254",none,"industry_detail; feature_grid; gallery; CTA","notFound when slug missing",No,No,"Industry details ignore existing Industry model and CMS blocks","Move details into Industry model/pageContent or CMS child pages",P0,NONE
/training-facilities,Listing page,src/app/(public)/training-facilities/page.tsx,Server RSC,CmsPage + dynamic facilities grid block,training-facilities,Partial,Partial,Partial,Partial,SEOPageMeta via repository,Yes,Yes,TrainingFacility,"src/app/(public)/training-facilities/page.tsx; src/demo-data/pages/training-facilities.ts","dynamic_facilities_grid","facility_listing_controls; gallery","Public grid empty is blank/null depending renderer",Yes,Partial,"Landing page is CMS-capable; detail content still hardcoded array","Consolidate details to TrainingFacility collection + CMS intro",P1,PARTIAL
/training-facilities/[slug],Dynamic detail page,src/app/(public)/training-facilities/[slug]/page.tsx,Static generated/detail RSC,src/lib/content.ts trainingContent,None,No,No,No,No,No,Yes,Yes,None,"src/lib/content.ts:409",none,"facility_detail; gallery; feature_grid; video","notFound when slug missing",No,No,"Facility detail pages bypass TrainingFacility model and admin training route","Use TrainingFacility pageContent/media gallery",P0,NONE
/trust-centre,Listing page,src/app/(public)/trust-centre/page.tsx,Server RSC,CmsPage + dynamic vault grid block,trust-centre,Partial,Partial,Partial,Partial,SEOPageMeta via repository,Yes,Yes,ComplianceDocument,"src/app/(public)/trust-centre/page.tsx; src/demo-data/pages/trust-centre.ts","dynamic_vault_grid","download_list; compliance_documents","Public grid empty is blank/null depending renderer",Yes,Partial,"Trust centre landing is CMS-capable but detail pages are hardcoded and compliance docs model is underused","Use ComplianceDocument collection for visible downloads and detail sections",P1,PARTIAL
/trust-centre/[slug],Dynamic detail page,src/app/(public)/trust-centre/[slug]/page.tsx,Static generated/detail RSC,src/lib/content.ts trustContent,None,No,No,No,No,No,Yes,Yes,None,"src/lib/content.ts:512",none,"compliance_documents; download_list; policy_detail","notFound when slug missing",No,No,"Trust/licence/certification pages are hardcoded instead of document collection driven","Map to ComplianceDocument categories and CMS child pages",P0,NONE
/demands,Listing page,src/app/(public)/demands/page.tsx,Server RSC,Content repository Demand collection + hardcoded listing UI,None,No,No,No,Partial,SEOPageMeta via repository,Yes,Yes,Demand,"src/app/(public)/demands/page.tsx",none,"listing_intro; filter_help; demand_card_template","Shows no-demands empty state",No,No,"Listing intro/filter copy is code; data is collection-driven","Keep demand data code-controlled; add CMS editable intro/FAQ/SEO",P1,COLLECTION_DRIVEN
/demands/[slug],Dynamic detail page,src/app/(public)/demands/[slug]/page.tsx,Server RSC,Content repository Demand collection,None,No,No,Partial,Partial,Generated from demand fields,Yes,Yes,Demand; DemandPosition; DemandDocument,"src/app/(public)/demands/[slug]/page.tsx",none,"demand_detail_template; application_intro","404 or closed state from demand status",No,No,"Functional detail template is code-owned; supporting copy not CMS editable","Keep transactional demand content in collection; add CMS editable template copy only",P1,COLLECTION_DRIVEN
/demands/[slug]/apply,Form or functional page,src/app/(public)/demands/[slug]/apply/page.tsx,Server RSC + client form,Content repository Demand + apply form action,None,No,No,No,Partial,Static layout metadata,Yes,Yes,Demand; DemandApplication,"src/app/(public)/demands/[slug]/apply/page.tsx; src/app/(public)/demands/[slug]/apply/DemandApplyForm.tsx",none,"application_intro; form_instructions; success_message","Closed/archived demands block application",No,No,"Instructional copy can be edited only in code; validation/security must remain code","Add CMS-managed safe copy fields; keep validation/Turnstile/privacy hashing code-controlled",P1,FUNCTIONAL_CODE_CONTROLLED
/careers,Listing page,src/app/(public)/careers/page.tsx,Server RSC,Direct Prisma CareerOpening collection + hardcoded page copy,None,No,No,No,Partial,Generated/static with SEOPageMeta not clearly used,Yes,Yes,CareerOpening,"src/app/(public)/careers/page.tsx",none,"listing_intro; career_card_template","Empty state likely rendered by page",No,No,"Direct Prisma bypasses repository pattern; page copy hardcoded","Move data access to repository/service; add CMS intro/SEO",P1,COLLECTION_DRIVEN
/careers/[slug],Dynamic detail page,src/app/(public)/careers/[slug]/page.tsx,Server RSC,Direct Prisma CareerOpening + application form,None,No,No,No,Partial,Generated from career fields,Yes,Yes,CareerOpening; CareerApplication,"src/app/(public)/careers/[slug]/page.tsx; src/app/(public)/careers/[slug]/CareerApplyForm.tsx",none,"career_detail_template; application_intro","Not found when closed/missing",No,No,"Direct Prisma in page and hardcoded application framing; validation must remain code","Repository wrapper + CMS-safe application intro/success copy",P1,COLLECTION_DRIVEN
/news,Listing page,src/app/(public)/news/page.tsx,Server RSC,Direct Prisma NewsArticle collection,None,No,No,Partial,Partial,SEOPageMeta direct Prisma,Yes,Yes,NewsArticle,"src/app/(public)/news/page.tsx",none,"listing_intro; article_card_template","Empty list renders page-specific state",No,No,"Direct Prisma and hardcoded listing copy outside CMS","Use repository/service and optional CmsPage intro",P2,COLLECTION_DRIVEN
/news/[slug],Dynamic detail page,src/app/(public)/news/[slug]/page.tsx,Server RSC,Direct Prisma NewsArticle collection,None,No,No,Partial,Partial,Generated from article fields,Yes,Yes,NewsArticle,"src/app/(public)/news/[slug]/page.tsx",none,"article_template; related_content","notFound when missing",No,No,"Direct Prisma bypasses repository consistency and media normalization risk","Use repository/service; keep article body collection-driven",P2,COLLECTION_DRIVEN
/insights,Listing page,src/app/(public)/insights/page.tsx,Server RSC,Direct Prisma InsightArticle collection,None,No,No,Partial,Partial,SEOPageMeta direct Prisma,Yes,Yes,InsightArticle,"src/app/(public)/insights/page.tsx",none,"listing_intro; article_card_template","Empty list renders page-specific state",No,No,"Direct Prisma and hardcoded listing copy outside CMS","Use repository/service and optional CmsPage intro",P2,COLLECTION_DRIVEN
/insights/[slug],Dynamic detail page,src/app/(public)/insights/[slug]/page.tsx,Server RSC,Direct Prisma InsightArticle collection,None,No,No,Partial,Partial,Generated from article fields,Yes,Yes,InsightArticle,"src/app/(public)/insights/[slug]/page.tsx",none,"article_template; related_content","notFound when missing",No,No,"Direct Prisma bypasses repository consistency and media normalization risk","Use repository/service; keep article body collection-driven",P2,COLLECTION_DRIVEN
/success-stories,Listing page,src/app/(public)/success-stories/page.tsx,Server RSC,Content repository SuccessStory collection,None,No,No,Partial,Partial,SEOPageMeta via repository,Yes,Yes,SuccessStory,"src/app/(public)/success-stories/page.tsx",none,"listing_intro; story_card_template","Empty list page-specific state",No,No,"Listing framing is hardcoded even though stories are collection-driven","Add CmsPage intro and optional testimonial/story filters",P2,COLLECTION_DRIVEN
/success-stories/[slug],Dynamic detail page,src/app/(public)/success-stories/[slug]/page.tsx,Server RSC,Content repository SuccessStory collection,None,No,No,Partial,Partial,Generated from story fields,Yes,Yes,SuccessStory,"src/app/(public)/success-stories/[slug]/page.tsx",none,"story_detail_template; related_content","notFound when missing",No,No,"Template copy and related story behavior are code-owned","Keep story content collection; add template-copy settings only if needed",P2,COLLECTION_DRIVEN
/contact,Form or functional page,src/app/(public)/contact/page.tsx,Server RSC + client form,Site settings + hardcoded global offices + contact form,None,No,No,Partial,Partial,SEOPageMeta via repository,Yes,Yes,SiteSetting; Contact lead,"src/app/(public)/contact/page.tsx:24",none,"contact_details; office_locations; contact_form_intro","Form errors controlled by action",No,No,"Office locations are hardcoded; contact info partly settings-managed","Create OfficeLocation collection or SiteSetting section; keep form action code-controlled",P1,PARTIAL
/worker-grievance,Form or functional page,src/app/(public)/worker-grievance/page.tsx,Static RSC,Hardcoded grievance copy/contact links,None,No,No,No,No,Static metadata,Yes,Yes,None,"src/app/(public)/worker-grievance/page.tsx",none,"grievance_intro; contact_details; faq","No dynamic empty state",No,No,"Worker safety/grievance copy is hardcoded and high-risk to let drift","CMS-manage content with locked required safety blocks; keep any submission/security code controlled",P1,NONE
/privacy-policy,Legal page,src/app/(public)/privacy-policy/page.tsx,Static RSC,Hardcoded legal copy,None,No,No,No,No,Static metadata,Yes,Yes,None,"src/app/(public)/privacy-policy/page.tsx",none,legal_rich_text,"No dynamic empty state",No,No,"Legal content requires controlled review but is currently code deploy only","Create LegalPage CMS type or CmsPage with approval workflow",P3,NONE
/terms-of-service,Legal page,src/app/(public)/terms-of-service/page.tsx,Static RSC,Hardcoded legal copy,None,No,No,No,No,Static metadata,Yes,Yes,None,"src/app/(public)/terms-of-service/page.tsx",none,legal_rich_text,"No dynamic empty state",No,No,"Legal content requires code deploy for edits","Create LegalPage CMS type or CmsPage with approval workflow",P3,NONE
/search,Search page,src/app/(public)/search/page.tsx,Server RSC,Search service/global data + hardcoded UI,None,No,No,No,Partial,No,Yes,Yes,"jobs, stories, facilities, industries","src/app/(public)/search/page.tsx",none,"search_intro; result_card_templates","Shows no results state",No,No,"Search copy/templates are hardcoded; data must remain query controlled","Keep search logic code; add CMS-managed intro/no-results copy if needed",P3,FUNCTIONAL_CODE_CONTROLLED
/jobs,Listing page,src/app/(public)/jobs/page.tsx,Server RSC,Likely legacy/static listing page,None,No,No,No,Partial,No,Yes,Yes,Job,"src/app/(public)/jobs/page.tsx",none,"listing_intro; job_card_template","Depends on page implementation",No,No,"Jobs route may duplicate demands/careers concepts","Clarify whether /jobs is legacy; migrate intro or redirect",P2,PARTIAL
/sitemap.xml,System-generated route,src/app/sitemap.ts,Server metadata route,Prisma/public collections + static route list,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CmsPage, Demand, InsightArticle, NewsArticle, CareerOpening, SuccessStory","src/app/sitemap.ts",none,none,"Returns [] when staging noindex enabled",N/A,N/A,"Direct Prisma and static route list must track route migrations","Update registry-driven sitemap after CMS page registry exists",P2,SYSTEM_ROUTE
/robots.txt,System-generated route,src/app/robots.ts,Server metadata route,Environment/site config,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,"src/app/robots.ts",none,none,"Depends on staging noindex/site config",N/A,N/A,"Robots follows environment behavior; not CMS content","Keep code-controlled",P3,SYSTEM_ROUTE
